VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchasRatio,UnsoldInventoryValue
3664,WILLIAM GRANT & SONS INC   ,1956,Balvenie 12 Yr Doublewood S,39.99,53.99,750,9013,360429.87,7502.0,433365.98000000004,280014.78,5910.79,30234.420000000002,72936.11000000004,16.830142042991017,0.8323532675024964,1.2023586724374427,60424.89
17035,PERNOD RICARD USA          ,2932,Jameson Black Barrel,24.61,31.99,750,14642,360339.62,13305.0,428232.95,255228.59999999998,10481.2,123780.22,67893.33000000002,15.854298460685945,0.9086873377953831,1.1884148348716137,32903.57
12546,JIM BEAM BRANDS COMPANY    ,5391,Kamora Coffee,12.02,15.99,1750,29914,359566.28,29230.0,480582.7,215313.26,53705.04,123880.97,121016.41999999998,25.181185256980744,0.9771344520960086,1.3365622048875105,8221.68
3960,DIAGEO NORTH AMERICA INC   ,1384,Bulleit 95 Rye,18.93,25.99,750,18900,357777.0,16939.0,452555.61,233683.03,13341.25,257032.07,94778.60999999999,20.942975383732396,0.8962433862433863,1.2649097342758198,37121.729999999996
1392,CONSTELLATION BRANDS INC   ,38546,Mark West Pnt Nr Sonoma,5.06,9.99,750,70531,356886.86,68406.0,657717.4400000001,130273.67,7675.820000000001,79528.99,300830.5800000001,45.738574303275286,0.9698714040634615,1.8429298293582457,10752.5
12546,JIM BEAM BRANDS COMPANY    ,3982,Hornitos Reposado Tequila,14.38,19.99,750,24801,356638.38,21546.0,457995.54,221613.02,16967.31,123880.97,101357.15999999997,22.130599787063424,0.8687552921253175,1.28420149283989,46806.9
3252,E & J GALLO WINERY         ,3180,New Amsterdam Vodka,10.94,16.99,1750,32413,354598.22,33281.0,570622.19,227805.13999999998,61148.9,61966.91,216023.96999999997,37.857618190417725,1.026779378644371,1.6092077111949405,-9495.92
1128,BROWN-FORMAN CORP          ,1789,Jack Daniels Tennesse Fire,17.16,22.99,750,20590,353324.39999999997,19422.0,454329.77999999997,231627.97999999998,15295.68,68601.68,101005.38,22.231732201221767,0.9432734337056824,1.2858715107136671,20042.88
1485,CASTLE BRANDS CORP.        ,1269,Jeffersons Bourbon,19.11,25.99,750,18458,352732.38,16327.0,430740.73,220628.53999999998,12859.75,8497.59,78008.34999999998,18.11027947136552,0.8845487051684906,1.2211544911187342,40723.409999999996
3960,DIAGEO NORTH AMERICA INC   ,3456,Tanqueray Sterling Vodka,13.27,18.99,1750,26543,352225.61,25234.0,474191.66,168112.16999999998,46367.09,257032.07,121966.04999999999,25.720834061062988,0.9506837961044343,1.346272521183227,17370.43
